opening,games,elo,last_played,score,white_win_percent,black_win_percent,avg_cp_loss/game,inaccuracies/game,mistakes/game,blunders/game,familiarity,sharpness,best
D04--Queen's Pawn Game (1 d4 d5 2 Nf3 Nf6 3 e3),4.0,1407.0,2021.06.07,0.75,,0.75,0.7636630824372761,2.5,5.0,1.25,2.6189559846429673,0.9821084942411128,0.9195768386963538
"A00--Uncommon Opening (1 g4, a3, h3, etc.)",22.0,1497.0,2022.01.28,0.7727272727272727,,0.7727272727272727,0.9075952935984941,1.7727272727272727,3.863636363636364,1.5909090909090908,5.1679595442001,0.85140070489294,0.8400766634508152
A06--Reti Opening (1 Nf3 d5),4.0,1398.0,2022.01.28,0.75,,0.75,0.9517022397891964,2.5,2.5,1.5,2.101497628547142,0.7880616107051783,0.7378850798253161
A20--English (1 c4 e5),3.0,1290.0,2021.05.13,0.6666666666666666,,0.6666666666666666,0.9118095238095236,1.3333333333333333,2.333333333333333,2.0,1.899575253757386,0.731146856068519,0.6823475743473657
C42--Petrov Defense (1 e4 e5 2 Nf3 Nf6),11.0,1295.0,2021.05.12,0.6363636363636364,0.6,1.0,1.0313033644936085,2.4545454545454546,3.272727272727273,2.0,3.2159545915802688,0.6170479591871634,0.6059941124816866
"B13--Caro-Kann, Exchange (1 e4 c6 2 d4 d5 3 exd5 cxd5)",9.0,1472.0,2022.01.25,0.5555555555555556,0.5555555555555556,,0.9045451772628244,1.5555555555555556,2.2222222222222223,0.8888888888888888,3.31658393125048,0.6141822094908296,0.6039143143739286
C00--French Defense (1 e4 e6),100.0,1405.0,2022.01.30,0.56,0.5882352941176471,0.5555555555555556,0.9399597368792167,1.88,2.8,1.44,10.638753563212445,0.595770199539897,0.5948382233031789
"B22--Sicilian, Alapin (1 e4 c5 2 c3)",15.0,1286.0,2021.06.08,0.6,0.6,,1.026436546931645,1.0666666666666669,2.2,1.6,3.7732321182298434,0.5845466062111647,0.5776558356715027
B40--Sicilian (1 e4 c5 2 Nf3 e6),3.0,1402.0,2022.01.11,0.6666666666666666,0.6666666666666666,,1.095946275946276,2.0,4.333333333333333,1.3333333333333333,1.5804157973650377,0.6083023240268277,0.5677021132272677
C53--Giuoco Piano (1 e4 e5 2 Nf3 Nc6 3 Bc4 Bc5 4 c3),4.0,1737.0,2022.01.28,1.0,1.0,1.0,1.5792800677583283,2.5,2.75,1.75,1.2663998240912726,0.6331999120456363,0.5663512186723723
B00--Uncommon King's Pawn Opening (1 e4),15.0,1591.0,2022.01.29,0.8,0.8,,1.482384967659643,2.7333333333333334,3.2,2.7333333333333334,2.6126704133555796,0.5396708800029337,0.528513688303567
"C01--French, Exchange (1 e4 e6 2 d4 d5 3 exd5 exd5 4 Nc3 Nf6 5 Bg5)",13.0,1451.0,2022.01.29,0.6153846153846154,1.0,0.5833333333333334,1.1564278912144417,1.7692307692307692,2.1538461538461537,1.9230769230769231,3.1178349319105063,0.5321426610857329,0.524557166033826
"C02--French, Advance (1 e4 e6 2 d4 d5 3 e5)",46.0,1459.0,2022.01.30,0.6086956521739131,1.0,0.5952380952380952,1.1692573407639997,1.6304347826086956,2.891304347826087,1.891304347826087,5.8005451380734145,0.5205831350831527,0.5184991780538166
"C07--French, Tarrasch (1 e4 e6 2 d4 d5 3 Nd2 c5)",6.0,1325.0,2022.01.08,0.5,0.5,,0.9887770776991056,1.8333333333333333,4.0,2.0,2.4772922006678852,0.5056751529510627,0.49545844013357715
"B21--Sicilian, 2.f4 and 2.d4 (1 e4 c5 2 f4)",16.0,1404.0,2022.01.30,0.46875,0.4666666666666667,,0.9473056271597072,1.125,3.9375,1.6875,4.222502099975002,0.49482446484082054,0.4914613742758236
D31--Queen's Gambit Declined (1 d4 d5 2 c4 e6 3 Nc3),3.0,1611.0,2022.01.28,0.6666666666666666,,0.6666666666666666,1.2684542483660128,1.6666666666666667,1.6666666666666667,2.0,1.3654814982882169,0.5255740737401037,0.4904954338240566
C44--King's Pawn Game (1 e4 e5 2 Nf3 Nc6),6.0,1204.0,2022.01.12,0.5,0.6666666666666666,0.3333333333333333,1.0212602120730303,2.833333333333333,3.1666666666666665,1.5,2.3984971839948805,0.4895911875241498,0.47969943679897614
C45--Scotch Game (1 e4 e5 2 Nf3 Nc6 3 d4 exd4 4 Nxd4),111.0,1331.0,2022.01.30,0.5765765765765766,0.5849056603773585,0.0,1.2834924926345659,1.855855855855856,3.2792792792792786,1.855855855855856,8.20858229659504,0.4492247363232055,0.44855353857005653
D00--Queen's Pawn Game (1 d4 d5),36.0,1317.0,2022.01.29,0.5277777777777778,,0.5294117647058824,1.1888904585787303,1.9166666666666667,3.7222222222222223,1.9722222222222223,5.046722308775825,0.4439246475312069,0.44221712046345646
A40--Queen's Pawn Game (1 d4),5.0,1164.0,2022.01.07,0.6,,0.6,1.3638693400630182,1.6,3.2,1.8,1.639503075416646,0.43992483911419017,0.4248944821487928
D02--Queen's Pawn Game (1 d4 d5 2 Nf3),7.0,1309.0,2022.01.28,0.42857142857142855,,0.42857142857142855,1.0309098830620336,1.8571428571428568,4.142857142857143,1.7142857142857142,2.5664234619675153,0.41572152485188646,0.41037249042249
C41--Philidor Defense (1 e4 e5 2 Nf3 d6),45.0,1345.0,2022.01.28,0.5444444444444444,0.5454545454545454,,1.3564804351234845,1.9111111111111112,3.688888888888889,2.1555555555555554,4.945300911685248,0.4013654973172407,0.40005007392394737
C50--Giuoco Piano (1 e4 e5 2 Nf3 Nc6 3 Bc4 Bc5),12.0,1202.0,2022.01.13,0.4166666666666667,0.3333333333333333,0.4444444444444444,1.0367258001907125,1.9166666666666667,3.583333333333333,1.75,3.3413865213931304,0.40190633491518984,0.3990301970951291
D30--Queen's Gambit Declined (1 d4 d5 2 c4 e6),12.0,1299.0,2022.01.19,0.5,,0.5,1.2446047468028278,1.8333333333333333,2.5,2.4166666666666665,2.7832945551882444,0.4017339651679882,0.3976135078840349
B07--Pirc (1 e4 d6 2 d4 Nf6),5.0,1251.0,2022.01.30,0.4,0.4,,1.0439421470342525,1.8,2.8,1.4,2.1419462600032593,0.38316299532149817,0.37717570518413
D35--Queen's Gambit Declined (1 d4 d5 2 c4 e6 3 Nc3 Nf6),5.0,1280.0,2022.01.16,0.4,,0.4,1.0862783223539745,2.0,3.0,1.4,2.05846690621075,0.3682297545376737,0.3624758106429115
C10--French (1 e4 e6 2 d4 d5 3 Nc3),10.0,1344.0,2022.01.29,0.45,1.0,0.2857142857142857,1.2412220987049687,2.1,4.1,2.5,2.5477129866345014,0.3625459137969815,0.3589299619422924
B12--Caro-Kann Defense (1 e4 c6 2 d4),8.0,1298.0,2021.06.07,0.5,0.5,,1.4128299117538834,2.5,3.125,2.625,2.00195869383526,0.3538996420165689,0.34849627674297257
B06--Robatsch (1 e4 g6),6.0,1327.0,2022.01.28,0.5,0.5,,1.4101967364532018,2.5,5.0,1.8333333333333333,1.7369844075401217,0.35456045747032033,0.34739688150802434
B01--Scandinavian (1 e4 d5),62.0,1134.0,2022.01.30,0.4516129032258064,0.5,0.42105263157894735,1.4280193669034198,2.0161290322580645,3.467741935483871,2.274193548387097,5.513936334831478,0.3162512453910928,0.31573235769962243
C47--Four Knights (1 e4 e5 2 Nf3 Nc6 3 Nc3 Nf6),10.0,1259.0,2022.01.12,0.4,0.42857142857142855,0.0,1.3690334426667243,2.1,2.7,2.1,2.30986151368853,0.29217693851279825,0.28986720316581643
C20--King's Pawn Game (1 e4 e5),10.0,1168.0,2022.01.19,0.4,0.0,0.4444444444444444,1.380999098277609,1.6,4.0,2.8,2.2898477371291497,0.28964537377242505,0.28735565110883227
A45--Queen's Pawn Game (1 d4 Nf6),4.0,922.0,2021.10.17,0.5,,0.5,1.7778827231591936,1.0,3.5,2.75,1.1249335931709359,0.28123339829273397,0.27283647214408085
A22--English (1 c4 e5 2 Nc3 Nf6),4.0,1190.0,2022.01.14,0.25,,0.25,0.956,2.5,2.5,1.25,2.092050209205021,0.2615062761506276,0.2594868924460428
B10--Caro-Kann (1 e4 c6),5.0,1122.0,2022.01.28,0.2,0.0,1.0,0.8695291971661228,1.6,1.2,1.8,2.5715846975436194,0.23000952774423075,0.2290949733161646
C40--King's Knight Opening (1 e4 e5 2 Nf3),14.0,1116.0,2022.01.29,0.21428571428571427,0.21428571428571427,,1.0435056054409628,2.357142857142857,4.142857142857143,1.0714285714285714,3.5856610326427507,0.20535176157023305,0.2050158228095908
B02--Alekhine's Defense (1 e4 Nf6),4.0,1028.0,2022.01.11,0.125,0.0,,0.6909294871794872,1.75,1.25,1.25,2.8946513893398893,0.18091571183374308,0.1805633926837345
